岗位名称,单位名称,省份,月薪范围(k),招聘人数,学历要求,专业要求,单位性质,单位规模,福利标签,发布时间,职位ID
人工智能工程师（管培生）,陕西圆梦工场科技有限公司,全国,6.0-8.0,6,本科及以上,"人工智能（本科 080717），计算机科学与技术 ，数据科学与大数据技术，软件工程，电子信息工程 / 通信工程,",民营企业,100-499人,五险一金，岗位晋升，技能培训，定期体检，年终奖，绩效奖金，节日礼物,2026-07-17 12:32,QvjmQZPXrxyfBDVs9LUBoV
英语实习生,广州云照汉唐国际文化传播有限公司,广东,4.0-4.5,4,本科及以上,英语 翻译 商务英语 国际贸易 旅游管理 服装设计,民营企业,50-99人,,2026-07-17 10:39,Tpa3MbvaSF6S61LwJxPwwa
服装设计助理（实习生）,广州云照汉唐国际文化传播有限公司,广东,6.0-8.0,2,本科及以上,服装设计 纺织品设计 服装工程/服装技术 时尚营销与管理 配饰设计 戏剧服装设计 形象设计 时装摄影 时尚设计,民营企业,50-99人,,2026-07-17 10:38,L1Pw6Nm1vvCKP8HDdtpHsX
管理培训生（文化与零售、后台技术及管理职能）,广州云照汉唐国际文化传播有限公司,广东,4.0-5.0,3,本科及以上,市场营销 服装设计 产品设计 英语 翻译 播音主持 电子商务 新媒体运营,民营企业,50-99人,,2026-07-17 10:38,QhAKZJ5XW5oNQmoPgndQEw
储备班组长管理,上海天马微电子有限公司,上海,6.0-7.5,50,专科及以上,理工大类 电子信息类 机电一体化 电气自动化 计算机 机械设计与制造 数控,上市公司,1000-4999人,五险一金，岗位晋升，提供住宿,2026-07-17 09:19,7rKf93xhkvKJr6TntiPtBD
房屋经纪人,重庆浩邦家苑房地产营销策划有限公司,重庆,3.5-6.5,10,专科及以上,市场营销,民营企业,100-499人,五险一金，带薪年假，技能培训，弹性工作，年终分红,2026-07-17 15:48,D5CyvaqPLE9Hhp9A6xAzcL
地图数据标注员,中科辰尚（泰安）信息科技有限公司,山东,3.0-9.0,30,专科及以上,计算机类 人工智能 大数据 工商管理 机电一体化,民营企业,50-99人,,2026-07-17 15:41,EcX9pn5Z9z7bXf4QiPCSbh
数据标注工程师,中科辰尚（泰安）信息科技有限公司,山东,3.0-9.0,30,专科及以上,计算机类 人工智能 大数据 工商管理 机电一体化,民营企业,50-99人,,2026-07-17 15:41,EaFT6wPu5qqtPFwHTqrLQJ
房屋检测实习生2026,上海同丰工程咨询有限公司,上海,3.0-3.0,2,专科及以上,桥梁 结构 土木 交通工程 市政 测量 检测,民营企业,100-499人,五险一金，带薪年假，技能培训，定期体检，年终奖，年度旅游，高温补贴，节日礼物，提供住宿，班车接送,2026-07-17 14:10,XWApRBNgZ8A3zYxKgmXmvq
行政内勤实习生,湖北汉牛会计师事务有限公司,湖北,1.5-3.0,1,本科及以上,行政管理 人力资源 汉语言 财会类,民营企业,50-99人,五险一金，岗位晋升，股权激励，定期体检，年终奖，绩效奖金，年度旅游，午餐补助，节日礼物,2026-07-17 13:56,MvPofsadSB7SrpHGWHqYQW
中文/数学/英文科 教辅编辑实习生,乐学数码科技（广州）有限公司,广东,1.0-2.5,0,本科及以上,师范 汉语言文学 英语 数学,合资企业,1-49人,,2026-07-17 11:30,DgLtiYZ4KVNQdEn1E1x2Y4
高端女装销售实习生,广州云照汉唐国际文化传播有限公司,广东,4.0-5.0,3,本科及以上,服装设计与工艺 纺织品设计 民族服饰与非物质文化遗产保护 艺术设计（视觉传达/平面设计）时尚配饰设计 服装与服饰设计 电脑绣花工艺设计 苏绣技艺 服装电脑绣花制板师,民营企业,50-99人,,2026-07-17 10:39,4eUdUUU2GhmhSrNximtt9f
高端女装销售实习生,广州云照汉唐国际文化传播有限公司,广东,4.0-4.5,3,专科及以上,英语 服装设计与工艺 纺织品设计 民族服饰与非物质文化遗产保护 艺术设计（视觉传达/平面设计）时尚配饰设计 服装与服饰设计 电脑绣花工艺设计 苏绣技艺 服装电脑绣花制板师,民营企业,50-99人,,2026-07-17 10:38,CzxFVupaHrCtXVtU1hqHPY
客服助理,上海谷曼实业有限公司,上海,3.0-8.0,2,专科及以上,电子商务，设计等,民营企业,1-49人,五险一金，带薪年假，年终奖，年度旅游，节日礼物,2026-07-17 10:30,SbuHvACDTBhK5Jg4gzsZXu
机械类实习生,南通万维新能源科技有限公司,江苏,3.0-3.5,10,专科及以上,机械类 机械制造及自动化,民营企业,100-499人,五险一金，技能培训，绩效奖金，午餐补助，住房补助,2026-07-17 09:39,Fi2wkQkeBkTS1JohUweQew
项目助理管培生（实习生）,岭创汇（广州）信息科技有限公司,广东,3.0-10.0,6,本科及以上,金融 营销 管理,民营企业,1-49人,,2026-07-17 09:36,ANgwQEL9yLgpMkVirNzSbM
网络安全测试工程师（实习）,湖南翼帆科技有限公司,湖南,3.0-6.0,2,专科及以上,电子信息类 计算机类 计算机科学与技术 软件工程 信息安全 网络空间安全,民营企业,1-49人,五险一金，带薪年假，技能培训,2026-07-17 09:32,Tve9D7QRFZzuPTbCGUP2TD
2026年度信息安全测评工程师（实习）,湖南翼帆科技有限公司,湖南,3.0-6.0,2,专科及以上,计算机科学与技术 软件工程 信息安全 网络空间安全,民营企业,1-49人,五险一金，带薪年假，技能培训,2026-07-17 09:29,RDUmb4EmQhntiJYPfL2BEE
储备技术员,上海天马微电子有限公司,上海,6.0-7.5,50,专科及以上,,上市公司,1000-4999人,五险一金，岗位晋升，提供住宿,2026-07-17 09:12,3KELC6sY11xFtwgMkpper3
地铁集团站务专员,胜宸（天津）生物科技有限公司,天津,4.0-5.0,20,专科及以上,电子商务 计算机 汉语言文学 市场营销 物流 工商管理 旅游管理 机电一体化 电气自动化,民营企业,50-99人,,2026-07-17 08:37,TApbEadYcorT2zd5oZr1V2
汽车部件生产实习生,天津中辉智造企业管理咨询有限公司,天津,5.0-8.0,20,不限,机电 电气 机械 新能源 电子信息 物联网 机器人 无人机 自动化 微电子,民营企业,1-49人,,2026-07-17 08:31,BsoRFqHcBGnfHvhF8QqMYr
自动化设备技工,珠海冠宇电池股份有限公司,广东,6.0-7.5,50,专科及以上,智能制造 汽车 新能源 电气 智能控制 电子 机器人 电子 机械,民营企业,5000以上,五险一金，带薪年假，岗位晋升，技能培训，专项奖金，绩效奖金，午餐补助，提供住宿，班车接送,2026-07-16 23:39,PH3rrquiGcVK8BR14LLQ6o
自动化设备技工,珠海冠宇电池股份有限公司,广东,6.0-7.5,50,专科及以上,智能制造 汽车 新能源 电气 智能控制 电子,民营企业,5000以上,五险一金，带薪年假，岗位晋升，技能培训，专项奖金，绩效奖金，午餐补助，提供住宿，班车接送,2026-07-16 23:33,E7XrYLhtsrzn6qsXJ84Suk
机电/机械/电子/电气自动化实习生,珠海冠宇电池股份有限公司,广东,6.0-7.5,50,专科及以上,机电 机械 电子 电气 机器人,民营企业,5000以上,五险一金，带薪年假，岗位晋升，技能培训，专项奖金，绩效奖金，午餐补助，提供住宿，班车接送,2026-07-16 23:23,2VhSUhAfHDDSqbySNdB54J
金融客户代表/管培生,北京指南针科技发展股份有限公司,北京,4.0-15.0,50,专科及以上,证券 金融 财务 会计 工商管理 市场营销 电子商务 经济学 国际贸易 互联网金融 保险 投资,股份制企业,1000-4999人,五险一金，岗位晋升，定期体检，绩效奖金，年度旅游，节日礼物，提供住宿,2026-07-16 17:28,EANHXVxWWtLYaDwq1HoXwL
金融销售顾问/管培生,北京指南针科技发展股份有限公司,北京,4.0-15.0,50,专科及以上,证券 金融 财务 会计 工商管理 市场营销 电子商务 经济学 国际贸易 互联网金融 保险 投资,股份制企业,1000-4999人,五险一金，岗位晋升，定期体检，绩效奖金，年度旅游，节日礼物，提供住宿,2026-07-16 17:27,MDvU2VicCAEmSkxmTFvjz4
汽车维修与检测实习生,安兴(绍兴)汽车服务有限公司,浙江,3.0-3.5,30,专科及以上,汽修类,民营企业,50-99人,,2026-07-16 17:12,NWpMDN89joEDAAmupRPY1Y
门店储备店长,安兴(绍兴)汽车服务有限公司,浙江,3.0-3.5,30,专科及以上,汽修类,民营企业,50-99人,,2026-07-16 17:09,QA1CF1sZx2bi8YKjaYWYPn
汽车贴膜实习生,安兴(绍兴)汽车服务有限公司,浙江,3.0-3.5,30,专科及以上,汽修类,民营企业,50-99人,,2026-07-16 17:06,6Bvrj34f5CqhcHkiwBMZ9k
汽车精洗实习生,安兴(绍兴)汽车服务有限公司,浙江,3.0-3.5,30,专科及以上,汽修类,民营企业,50-99人,,2026-07-16 17:06,LbPP1KJozvp6uS2XQz988p
储备干部,杭州鑫助达智能科技有限公司,浙江,6.5-9.0,30,专科及以上,数控、机械类相关专业,民营企业,100-499人,五险一金，岗位晋升，技能培训，扁平管理，年终奖,2026-07-16 17:03,HsGdJYZrQdrcn3ZRJnXMUX
管培生,杭州鑫助达智能科技有限公司,浙江,6.5-9.0,30,专科及以上,数控、机械类相关专业,民营企业,100-499人,五险一金，岗位晋升，技能培训，扁平管理，年终奖,2026-07-16 17:03,Fo6PJoEe5s3uUNER95PF5U
生产普工,杭州鑫助达智能科技有限公司,浙江,6.5-7.5,30,专科及以上,数控、机械类相关专业,民营企业,100-499人,五险一金，岗位晋升，技能培训，扁平管理，年终奖,2026-07-16 17:03,KvJicR1H1TFuM8wNLC4rWv
车间火加工,杭州鑫助达智能科技有限公司,浙江,6.5-15.0,30,专科及以上,数控、机械类相关专业,民营企业,100-499人,五险一金，岗位晋升，技能培训，扁平管理，年终奖,2026-07-16 17:03,4UMX17UuB7iytXF5WqSWmU
数控实习生,杭州鑫助达智能科技有限公司,浙江,6.5-7.5,30,专科及以上,数控、机械类相关专业,民营企业,100-499人,五险一金，岗位晋升，技能培训，扁平管理，年终奖,2026-07-16 17:02,F5yL3KuiDXV8CUHT7y6npX
物流订单处理员,杭州千载匠心科技有限公司,浙江,3.0-3.5,20,专科及以上,电子商务,民营企业,50-99人,,2026-07-16 17:00,L1XDEpPjmWQTnTDB1717yJ
物流打包员,杭州千载匠心科技有限公司,浙江,3.0-3.5,20,专科及以上,电子商务,民营企业,50-99人,,2026-07-16 16:59,KzsjZBiFBuoCR7iMU5VZ6y
检验,浙江冉博电器有限公司,浙江,5.5-6.5,15,专科及以上,机电、机械、电子、电气、测控技术、制冷、数控模具等理工类专业优先,民营企业,500-999人,五险一金，岗位晋升，技能培训，午餐补助，提供住宿,2026-07-16 15:58,L8ziZ77vDnbCVC8nvNVfiT
洗净,浙江冉博电器有限公司,浙江,5.5-6.5,15,专科及以上,机电、机械、电子、电气、测控技术、制冷、数控模具等理工类专业优先,民营企业,500-999人,五险一金，岗位晋升，技能培训，午餐补助，提供住宿,2026-07-16 15:57,BpdF18W5DHjTKKFbn2S3Ax
火加工,浙江冉博电器有限公司,浙江,5.5-6.5,15,专科及以上,机电、机械、电子、电气、测控技术、制冷、数控模具等理工类专业优先,民营企业,500-999人,五险一金，岗位晋升，技能培训，午餐补助，提供住宿,2026-07-16 15:56,3dwsMYzDjVPxcPPeAfhJCN
机加工,浙江冉博电器有限公司,浙江,5.5-6.5,15,专科及以上,机电、机械、电子、电气、测控技术、制冷、数控模具等理工类专业优先,民营企业,500-999人,五险一金，岗位晋升，技能培训，午餐补助，提供住宿,2026-07-16 15:55,D9bYJY3kQoG9aymyjSKp8
储备干部,浙江冉博电器有限公司,浙江,5.5-6.5,20,专科及以上,机电、机械、电子、电气、测控技术、制冷、数控模具等理工类专业优先,民营企业,500-999人,五险一金，岗位晋升，技能培训，午餐补助，提供住宿,2026-07-16 15:53,8b6NatStXnQVYaEZXdw3RW
餐饮储备干部,宁波钓鱼台餐饮管理有限公司,浙江,3.0-3.5,30,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,50-99人,五险一金，技能培训，绩效奖金，提供住宿,2026-07-16 14:41,G2TxTzqyd2o9EpXcusLFXt
餐饮管培生,宁波钓鱼台餐饮管理有限公司,浙江,3.0-3.5,30,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,50-99人,五险一金，技能培训，绩效奖金，提供住宿,2026-07-16 14:40,9Fdhn9gREKXKfdTx9xZ4M2
厨房实习生,宁波钓鱼台餐饮管理有限公司,浙江,3.0-3.5,30,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,50-99人,五险一金，技能培训，绩效奖金，提供住宿,2026-07-16 14:39,C5FyLE8TbHZxVTVZRgHXku
前厅实习生,宁波钓鱼台餐饮管理有限公司,浙江,3.0-3.5,30,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,50-99人,五险一金，技能培训，绩效奖金，提供住宿,2026-07-16 14:37,jiXsWMDpJkuxRxLSgR375
酒店实习生,宁波钓鱼台餐饮管理有限公司,浙江,3.0-3.5,30,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,50-99人,五险一金，技能培训，绩效奖金，提供住宿,2026-07-16 14:37,Y9Wtd79MJDGg6oDpaMWwVE
财务部实习生,湖南中晟全肽生物科技股份有限公司,湖南,2.0-3.0,1,专科及以上,会计 财管 审计,合资企业,100-499人,五险一金，岗位晋升，技能培训，午餐补助，节日礼物,2026-07-16 14:17,Lm9H1vSMBHV9JmBQSs6toR
董事会实习生,湖南中晟全肽生物科技股份有限公司,湖南,2.0-3.0,1,本科及以上,法律 金融 财务 会计 生物医药,合资企业,100-499人,五险一金，岗位晋升，技能培训，午餐补助，节日礼物,2026-07-16 14:17,LU5GMzHaujp23fALPTadNV
药理部实习生,湖南中晟全肽生物科技股份有限公司,湖南,2.0-3.0,2,专科及以上,生物学 生物化学 药学 医学等 相关专科、本科以上学历,合资企业,100-499人,五险一金，岗位晋升，技能培训，午餐补助，节日礼物,2026-07-16 14:16,Juf6GL1JF6tgXv3jUH1HPv
传菜实习生,绍兴市吉荷餐饮管理有限公司,浙江,4.0-4.5,20,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,100-499人,技能培训，弹性工作，午餐补助，提供住宿,2026-07-16 13:51,S3fiBV2TC68HDj2BC7os9R
后厨实习生,绍兴市吉荷餐饮管理有限公司,浙江,4.0-4.5,20,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,100-499人,技能培训，弹性工作，午餐补助，提供住宿,2026-07-16 13:50,LjWXCovCxzBxzYjZfdif8v
迎宾实习生,绍兴市吉荷餐饮管理有限公司,浙江,4.0-4.5,15,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,100-499人,技能培训，弹性工作，午餐补助，提供住宿,2026-07-16 13:49,4C2mfFqGqeHuTjRbEeBbYv
前厅实习生,绍兴市吉荷餐饮管理有限公司,浙江,4.0-4.5,10,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,100-499人,技能培训，弹性工作，午餐补助，提供住宿,2026-07-16 13:47,HSKY9gEdExLSJULqppNyp3
餐饮实习生,绍兴市吉荷餐饮管理有限公司,浙江,4.0-4.5,10,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,100-499人,技能培训，弹性工作，午餐补助，提供住宿,2026-07-16 13:46,NabNQZZp7mZDq1obL7RKQd
传菜实习生,绍兴市越城区海虹舫海鲜大酒店有限公司,浙江,3.5-4.0,15,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,100-499人,提供住宿,2026-07-16 10:23,Cjdv1zzVFZznY9mRXfLxbW
前厅实习生,绍兴市越城区海虹舫海鲜大酒店有限公司,浙江,3.5-4.0,15,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,100-499人,提供住宿,2026-07-16 10:22,Asy7DxLVdoXZi4cEXybFX6
餐饮实习生,绍兴市越城区海虹舫海鲜大酒店有限公司,浙江,3.5-4.0,15,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,100-499人,提供住宿,2026-07-16 10:20,JgW3RyBAV5wZ2cb4hpUHrh
酒店实习生,绍兴市越城区海虹舫海鲜大酒店有限公司,浙江,3.5-4.0,15,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,100-499人,提供住宿,2026-07-16 10:19,NeQ5R7dkCvLgn4fDhUW9qC
迎宾实习生,绍兴市越城区海虹舫海鲜大酒店有限公司,浙江,3.5-4.0,15,专科及以上,旅游管理 酒店管理 烹饪专业 高铁乘务 航空,民营企业,100-499人,提供住宿,2026-07-16 10:17,4vLNL5xCVeniuoUprxBQit
托管班英语老师,北京天清启典教育科技有限公司,北京,2.5-12.0,20,专科及以上,小教专业 艺术专业 英语专业,其他,50-99人,岗位晋升，交通补助，午餐补助,2026-07-16 09:04,KgS8HhmgmH35AfCBDA4tz
装配操作工,青岛五顺汽车模具部件有限公司,山东,6.0-8.0,30,专科及以上,车辆 智能制造 机电一体化技术 模具设计与制造 机械制造与自动化 数控技术 智能控制电气自动化技术 工业机器人技术 智能机器人技术 制冷与空调技术,国有企业,500-999人,五险一金，岗位晋升，弹性工作，年终分红，定期体检，年底双薪,2026-07-16 08:42,JQNTH2pc9qit82WnrNR7MD
越南市场研究实习生,上海元哲信息咨询有限公司,上海,3.0-5.0,2,本科及以上,经济学 越南语 外贸,民营企业,1-49人,五险一金，技能培训，定期体检，专项奖金，节日礼物，免费加班餐，零食水果,2026-07-16 08:17,W3KdvmxCKXSjXwL4Phn9pG
人事专员,江西瞳日医疗器械有限公司,江西,2.0-3.0,2,本科及以上,,民营企业,1-49人,,2026-07-16 22:38,SyvmW1gjGfnzJtVsGWFXDr
会计助理,西藏维度企业管理咨询有限公司,西藏,4.0-5.0,5,本科及以上,财务 会计,民营企业,1-49人,,2026-07-16 22:12,8jhZM7zo1sL3HZP3t3pmZT
生产储干（2026届大专类）,陕西美邦药业集团股份有限公司,陕西,3.5-4.0,20,专科及以上,精细化工 化学 制药工程 机电一体化,民营企业,1000-4999人,五险一金，技能培训，股权激励，扁平管理，节日礼物，零食水果，提供住宿,2026-07-16 20:18,LiBSjtpR1VzVeqdXkKUT3y
销售实习生,广州市百利文仪实业有限公司上海分公司,上海,2.0-3.0,5,专科及以上,营销类 工商管理 室内设计 工程设计 建筑设计,民营企业,1-49人,,2026-07-16 18:09,JgF55Y4bHH2gRgJ6ksXcnY
实习生,上海海尔洗涤电器有限公司,安徽,5.0-8.0,100,不限,智能制造大类,上市公司,500-999人,,2026-07-16 17:57,Wro7nWCXZui2PUiZqtgJTz
仓库实习生,广西棒棒糖物业服务有限责任公司,广西,1.0-2.0,1,专科及以上,物流管理,民营企业,1000-4999人,,2026-07-16 17:38,NwxtMpV3wVoG4D1Z45ikPt
机场安保巡逻辅警,云翔美程（佛山）航空商务服务有限公司,广东,4.0-6.0,20,专科及以上,,民营企业,50-99人,,2026-07-16 17:30,Tas9ahbKZpoEZqat6SYF6N
白云机场地勤问询岗位,云翔美程（佛山）航空商务服务有限公司,广东,3.0-6.0,20,专科及以上,,民营企业,50-99人,,2026-07-16 17:30,FumgxywEHzejpKi7X6yuh5
房务办公室实习生,成都棕榈泉联英置业有限公司酒店管理分公司,四川,2.6-2.8,1,专科及以上,酒店管理，旅游管理，英语,合资企业,100-499人,五险一金，带薪年假，岗位晋升，技能培训，年终奖，节日礼物，提供住宿,2026-07-16 17:15,W2k99hwFYupP3ufG7am81B
门店前台销售,安兴(绍兴)汽车服务有限公司,浙江,3.0-3.5,30,专科及以上,汽修类,民营企业,50-99人,,2026-07-16 17:10,QN6QTjtSuNd3dpefJ4KAxF
电商客服,杭州千载匠心科技有限公司,浙江,3.0-3.5,20,专科及以上,电子商务,民营企业,50-99人,,2026-07-16 17:01,Ks1mgunCwxBYhRzFeqn7mL
售后客服,杭州千载匠心科技有限公司,浙江,3.0-3.5,20,专科及以上,电子商务,民营企业,50-99人,,2026-07-16 16:58,2JfKL621N51YLUzY6LSLxb
售前客服,杭州千载匠心科技有限公司,浙江,6.0-15.0,20,专科及以上,电子商务,民营企业,50-99人,,2026-07-16 16:56,2vZtTf2jXZYUznscHPpsVB
3ds  Max操作员（专科实习生）2027届,四川云尚空间科技有限公司,江西,2.0-3.0,4,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,50-99人,,2026-07-16 16:49,ECB3kpg59gX9n6r3iTCSty
包吃住---短期实习生,上海昂达餐饮管理有限公司,上海,4.0-5.0,100,不限,酒店 烹饪 旅游 工商管理 空乘,民营企业,500-999人,五险一金，岗位晋升，技能培训，年终分红，股票期权，定期体检，年终奖，年底双薪，免费加班餐，提供住宿,2026-07-16 15:41,GkxLrBZe2D76CGqwp45DPz
物流供给保障员,宁德嘉晨电子有限公司,福建,6.0-8.0,20,专科及以上,物流类 汽车类 自动化类 制造类 设备类,民营企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，年终奖，提供住宿,2026-07-16 15:40,AqXRqMrAd8t4CFUYx2qcgM
质检员,宁德嘉晨电子有限公司,福建,6.0-8.0,30,专科及以上,汽车类 自动化类 制造类 设备类,民营企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，年终奖，提供住宿,2026-07-16 15:40,5ZvJ4jAQ6MbdukP2hW6Qm1
文员,江门市佰分云教育科技有限公司,广东,3.0-8.0,1,专科及以上,会计学、财务,民营企业,1-49人,,2026-07-16 15:35,7eM5eg1um7iGFGtKMDmXff
设计助理,上海谷曼实业有限公司,上海,3.0-8.0,1,专科及以上,平面设计,民营企业,1-49人,五险一金，带薪年假，年终奖，年度旅游，节日礼物,2026-07-16 15:28,UYHAr88RGJJyVJZZusuJ1J
法务助理实习生-应届生专属,北京安明信维法律咨询有限公司,北京,3.5-5.0,2,本科及以上,民法 商法 法学 经济法 民事诉讼法,民营企业,1-49人,五险一金，带薪年假，岗位晋升，技能培训，弹性工作,2026-07-16 15:27,WDpBqCx9W46S45FycBR4xc
27届烹饪专业实习生（包吃住）,上海昂达餐饮管理有限公司,上海,4.0-5.0,100,不限,酒店 烹饪 旅游 工商管理 空乘,民营企业,500-999人,五险一金，岗位晋升，技能培训，年终分红，股票期权，定期体检，年终奖，年底双薪，免费加班餐，提供住宿,2026-07-16 15:25,CYKeV6eU88VyNRzGQMXitx
27/28届烹饪专业实习生（包吃住）,上海丰之绪餐饮管理有限公司,上海,4.0-5.0,100,不限,烹饪 酒店管理 旅游管理 市场营销 高级饭店经营与管理 工商管理 食品,民营企业,1000-4999人,岗位晋升,2026-07-16 15:23,CZhWFF49pib8AZrpgn2jVE
AutoCAD(专科实习生）2027届,四川云尚空间科技有限公司,江西,2.0-3.0,4,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,50-99人,,2026-07-16 14:56,Gf15XEvdj41H9jotyoZEDV
财务实习生,杭州黄龙饭店有限公司,浙江,2.4-2.8,1,本科及以上,,国有企业,500-999人,,2026-07-16 14:43,P6ogTffyZfMnAcuyGxvfbH
基恩士2027校园大使招募,基恩士（中国）有限公司,全国,1.0-3.0,10,本科及以上,,外商独资/外企代表处,员工数量,,2026-07-16 13:47,A6mEzULHk6fQA8iTcQC62N
生物技术研究员——实习生,湖南渊竹生物科技有限公司,湖南,3.0-4.0,2,专科及以上,限生物技术、生物工程、生物科学、生物制药专业,民营企业,1-49人,,2026-07-16 13:41,SePu3wdFj7hL4egw9GBxLd
基恩士2027校园大使招募,基恩士（中国）有限公司,全国,1.0-3.0,10,本科及以上,,外商独资/外企代表处,员工数量,,2026-07-16 13:34,4G4s8uNnbjba2Ftq6LDBHq
餐饮服务员,上海园林格兰云天大酒店有限公司第一分公司,上海,3.0-4.0,3,不限,酒店管理 旅游管理 会务管理 其他专业,民营企业,100-499人,,2026-07-16 13:22,4Q69LzRcRuLSBWLDYKHqjM
电子档案管理实习生2027届,上海辉然档案信息技术有限公司,浙江,2.0-6.5,4,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,100-499人,,2026-07-16 13:19,Cmm92RbREZTCKH6a3wvwQE
运营,北京便捷企服管理咨询有限公司,北京,4.0-6.0,1,不限,,民营企业,1-49人,五险一金，岗位晋升，弹性工作，交通补助,2026-07-16 12:10,QbkRt6PKcjmd4kviBHqYcK
行政专员,北京便捷企服管理咨询有限公司,北京,3.0-5.0,1,专科及以上,,民营企业,1-49人,五险一金，岗位晋升，弹性工作，交通补助,2026-07-16 12:09,JUAPwcp4BUfJ2vuGP9Tq4Z
会计助理,北京便捷企服管理咨询有限公司,北京,4.0-7.0,5,本科及以上,会计 财务,民营企业,1-49人,五险一金，岗位晋升，弹性工作，交通补助,2026-07-16 12:09,Cy5uCVvPYdtdSLuam7bMEX
行政助理实习生,北京云数信用服务中心,北京,3.5-6.0,2,本科及以上,,民营企业,1-49人,五险一金，技能培训，定期体检，绩效奖金，节日礼物,2026-07-16 12:09,X6HiJ67ENBvMjYoUA5WYtu
具身智能机器人训练师-有趣，氛围好,江西创焱智科数据有限公司,江西,3.0-5.0,10,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-16 11:26,YXZavHBLkNRfQDszJFgnu5
数据采集工程师-五险一金-朝九晚六,江西创焱智科数据有限公司,江西,3.0-5.0,20,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-16 11:25,Fqs1AeCnsYHLaHCuTySfHY
高级少儿武术教练（全国直营）,南京武悦舒体育发展有限公司,全国,7.0-12.0,50,不限,武术与民族传统体育 民族传统体育 体育教育 运动训练,其他,1000-4999人,五险一金，岗位晋升，年终分红，股票期权，扁平管理，年终奖，专项奖金，年度旅游，节日礼物，提供住宿,2026-07-16 10:16,KmZhBmrn8zCzxCMxgVQErf
档案管理实习生,广东仕邦投资控股有限公司,新疆,1.0-1.5,0,专科及以上,不限,民营企业,100-499人,,2026-07-16 10:09,MFj99gpjw3USaqNaLLbv8g
浙江联鑫板材科技有限公司,浙江联鑫板材科技有限公司,浙江,2.5-3.0,5,专科及以上,自动化、机械设计及自动化、电气设备、机电一体化、材料成型及加工、材料工程、冶金工程、金属材料、金属加工、市场营销、国际贸易、经济贸易等专业、,民营企业,100-499人,,2026-07-16 10:03,6zrknTjadZVdtgHNABKxKe
基恩士27届校园大使,基恩士（中国）有限公司,全国,3.0-7.0,10,本科及以上,,外商独资/外企代表处,员工数量,,2026-07-16 09:02,UYPLiAnViKEEK1JghgwTA4
短视频直播运营,贞策税务师事务所（北京）有限公司,北京,2.0-4.0,1,不限,,民营企业,1-49人,,2026-07-16 08:33,VNSDXjh6RKJoDAvSPVRby1
机械双开冲压设备工,青岛五顺汽车模具部件有限公司,山东,7.0-8.0,10,专科及以上,智能制造 机电一体化技术 模具设计与制造 机械制造与自动化 数控技术 智能控制电气自动化技术 工业机器人技术 智能机器人技术 制冷与空调技术,国有企业,500-999人,五险一金，岗位晋升，弹性工作，年终分红，定期体检，年底双薪,2026-07-15 14:42,XSivszt4UrsWnbDVwPSDn5
招聘学术研讨会邀约经理,南京相启科技有限公司,全国,6.0-7.0,5,本科及以上,会展服务、会展经济与管理、市场营销、工程管理、金融学,民营企业,1-49人,五险一金，岗位晋升，年终奖，交通补助，住房补助,2026-07-15 13:57,G7yKXzZzRxLzvUZsrqYY4U
学术研讨会邀约客服代表,北京国研华创科学技术院,江苏,6.0-15.0,5,本科及以上,会展服务、会展经济与管理、市场营销、工程管理、金融学,民营企业,1-49人,岗位晋升，技能培训，绩效奖金，交通补助,2026-07-15 13:49,6DPZyPkjBCt1nuB9MTukji
人力资源助理,浙江诚信医化设备有限公司,浙江,3.0-5.0,1,本科及以上,人力资源；工商管理,民营企业,500-999人,岗位晋升，技能培训，专项奖金，绩效奖金，节日礼物，提供住宿，班车接送,2026-07-15 13:13,8ZFe9xEHE4NJ3151bAsysw
